year,state,unit,unit_evs,had_popular_vote,candidate,party,on_ballot,raw_votes,evs_awarded,total_evs,evs_to_win,source_url
1824,MA,MA,15,True,Henry Clay,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MA,MA,15,True,John Quincy Adams,Democratic-Republican,True,37891,15,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MA,MA,15,True,Other,,True,6933,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MA,MA,15,True,William Crawford,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MD,MD,11,True,Andrew Jackson,Democratic-Republican,True,14473,7,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MD,MD,11,True,Henry Clay,Democratic-Republican,True,695,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MD,MD,11,True,John Quincy Adams,Democratic-Republican,True,14191,3,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MD,MD,11,True,Other,,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MD,MD,11,True,William Crawford,Democratic-Republican,True,3371,1,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,ME,ME,9,True,Andrew Jackson,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,ME,ME,9,True,Henry Clay,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,ME,ME,9,True,John Quincy Adams,Democratic-Republican,True,9412,9,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,ME,ME,9,True,Other,,True,1,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,ME,ME,9,True,William Crawford,Democratic-Republican,True,3081,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MO,MO,3,True,Andrew Jackson,Democratic-Republican,True,1166,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MO,MO,3,True,Henry Clay,Democratic-Republican,True,2042,3,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MO,MO,3,True,John Quincy Adams,Democratic-Republican,True,191,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MO,MO,3,True,Other,,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MO,MO,3,True,William Crawford,Democratic-Republican,True,34,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MS,MS,3,True,Andrew Jackson,Democratic-Republican,True,3313,3,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MS,MS,3,True,Henry Clay,Democratic-Republican,True,21,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MS,MS,3,True,John Quincy Adams,Democratic-Republican,True,1718,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MS,MS,3,True,Other,,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,MS,MS,3,True,William Crawford,Democratic-Republican,True,121,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NC,NC,15,True,Andrew Jackson,Democratic-Republican,True,20418,15,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NC,NC,15,True,Henry Clay,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NC,NC,15,True,John Quincy Adams,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NC,NC,15,True,Other,,True,1,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NC,NC,15,True,William Crawford,Democratic-Republican,True,15629,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NH,NH,8,True,Andrew Jackson,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NH,NH,8,True,Henry Clay,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NH,NH,8,True,John Quincy Adams,Democratic-Republican,True,10203,8,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NH,NH,8,True,Other,,True,3275,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NH,NH,8,True,William Crawford,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NJ,NJ,8,True,Andrew Jackson,Democratic-Republican,True,10342,8,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NJ,NJ,8,True,Henry Clay,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NJ,NJ,8,True,John Quincy Adams,Democratic-Republican,True,8405,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NJ,NJ,8,True,Other,,True,211,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NJ,NJ,8,True,William Crawford,Democratic-Republican,True,1232,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NY,NY,36,False,Andrew Jackson,Democratic-Republican,True,,1,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NY,NY,36,False,Henry Clay,Democratic-Republican,True,,4,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NY,NY,36,False,John Quincy Adams,Democratic-Republican,True,,26,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NY,NY,36,False,Other,,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,NY,NY,36,False,William Crawford,Democratic-Republican,True,,5,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,OH,OH,16,True,Andrew Jackson,Democratic-Republican,True,18411,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,OH,OH,16,True,Henry Clay,Democratic-Republican,True,19165,16,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,OH,OH,16,True,John Quincy Adams,Democratic-Republican,True,12686,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,OH,OH,16,True,Other,,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,OH,OH,16,True,William Crawford,Democratic-Republican,False,,0,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
1824,PA,PA,28,True,Andrew Jackson,Democratic-Republican,True,36091,28,261,131,https://en.wikipedia.org/wiki/1824_United_States_presidential_election
